logradouro,numero,bairro,cep,cidade,tipo_imovel,area_util,banheiros,suites,quartos,vagas_garagem,anuncio_criado,tipo_anuncio,preco_venda,taxa_condominio,periodicidade,preco_aluguel,iptu_ano
Rua Almeida Torres,119,Aclimação,01530010,São Paulo,Apartamento,134,4,3,4,2,2018-07-20,Venda,1042299,595,NA,NA,394
Alameda Campinas,802,Jardim Paulista,01404001,São Paulo,Escritório,145,2,NA,NA,4,2019-01-10,Venda,1181340,NA,NA,NA,0
Rua da Independência,NA,Cambuci,01524000,São Paulo,Apartamento,42,1,0,1,0,2018-11-06,Venda,200200,210,NA,NA,0
Avenida Lins de Vasconcelos,473,Cambuci,01537001,São Paulo,Apartamento,60,1,0,2,0,2018-12-15,Venda,224000,315,NA,NA,0
Avenida Lacerda Franco,527,Cambuci,01536000,São Paulo,Apartamento,133,3,3,3,2,2017-12-14,Venda,944999,840,NA,NA,0
Alameda Campinas,675,Jardim Paulista,01404001,São Paulo,Flat,31,1,1,1,1,2016-09-20,Locação,1889,0,MONTHLY,1889,0
Rua Carlos Sampaio,157,Bela Vista,01333021,São Paulo,Flat,56,1,1,1,1,2017-11-28,Locação,1309,965,MONTHLY,2275,105
Rua Muniz de Sousa,552,Aclimação,01534001,São Paulo,Apartamento,192,4,2,4,0,2017-10-28,Locação,5600,1149,MONTHLY,6749,428
Rua Joaquim Antunes,79,Jardim America,05415010,São Paulo,Apartamento,450,7,3,4,2,2019-01-30,Locação,8400,3220,MONTHLY,11620,770
Alameda Campinas,675,Jardim Paulista,01404001,São Paulo,Flat,32,1,NA,1,1,2018-06-13,Locação,1387,371,MONTHLY,1759,60
Alameda Jaú,358,Jardim Paulista,01420000,São Paulo,Flat,42,1,1,1,1,2017-05-04,Locação,1540,770,MONTHLY,2310,70
Rua Ituri,333,Vila Formosa,03358150,São Paulo,Loteamento Comercial,NA,NA,NA,NA,NA,2018-04-27,Venda,448000,NA,NA,NA,287
Alameda Fernão Cardim,376,Jardim Paulista,01403020,São Paulo,Apartamento,130,1,1,3,2,2018-11-05,Venda,1042999,1050,NA,NA,161
Alameda Campinas,675,Jardim Paulista,01404001,São Paulo,Flat,33,1,0,1,1,2016-11-30,Locação,1400,454,MONTHLY,1854,35
Alameda Joaquim Eugênio de Lima,747,Jardim Paulista,01403001,São Paulo,Apartamento,180,3,1,3,2,2018-10-25,Venda,1316000,1404,NA,NA,541
Alameda Joaquim Eugênio de Lima,747,Jardim Paulista,01403001,São Paulo,Apartamento,180,3,1,3,2,2019-02-08,Venda,944999,1400,NA,NA,489
Alameda Campinas,720,Jardim Paulista,01404200,São Paulo,Flat,150,1,0,2,2,2018-01-12,Locação,3150,2192,MONTHLY,5342,384
Alameda Itu,78,Jardim Paulista,01421000,São Paulo,Apartamento,65,2,1,2,2,2018-01-15,Venda,944999,735,NA,NA,273
Alameda Campinas,708,Jardim Paulista,01404002,São Paulo,Apartamento,116,2,1,2,1,2017-09-28,Venda,820083,805,NA,NA,0
Rua Carlos Sampaio,157,Bela Vista,01333021,São Paulo,Flat,42,1,NA,1,1,2018-06-21,Locação,2011,770,MONTHLY,2781,70
Alameda Campinas,675,Jardim Paulista,01404001,São Paulo,Flat,32,1,1,1,1,2017-12-01,Locação,1526,385,MONTHLY,1910,49
Rua Campo Largo,369,Vila Bertioga,03186010,São Paulo,Apartamento,142,4,1,4,2,2019-02-18,Venda,646800,0,NA,NA,0
Rua Paulina,660,Chácara Mafalda,03370040,São Paulo,Casa,50,2,2,2,1,2017-10-02,Venda,251999,0,NA,NA,0
Rua Campo Largo,216,Vila Bertioga,03186010,São Paulo,Apartamento,106,1,1,3,2,2018-08-14,Venda,581000,510,NA,NA,0
Alameda Gabriel Monteiro da Silva,NA,Jardim América,01442001,São Paulo,Apartamento,42,1,1,1,1,2018-11-08,Venda,471099,294,NA,NA,NA
Rua Campo Largo,119,Vila Bertioga,03186010,São Paulo,Depósito,600,0,0,0,0,2018-04-05,Venda,1260000,0,NA,NA,0
Avenida Dom Pedro I,218,Vila Monumento,01552000,São Paulo,Apartamento,53,1,0,1,1,2018-11-19,Venda,192500,385,NA,NA,0
Rua dos Pinheiros,00,Pinheiros,05422002,São Paulo,Apartamento,71,1,1,2,1,2018-07-21,Venda,647500,0,NA,NA,0
Rua Capitão Lorena,NA,Vila Invernada,03350080,São Paulo,Casa de dois andares,145,3,0,2,2,2018-12-26,Venda,525000,0,NA,NA,0
Rua Irmã Clotilde,NA,Vila Formosa,03365060,São Paulo,Casa de dois andares,70,2,2,2,1,2017-05-04,Venda,203000,0,NA,NA,0
Rua Gracindo de Sá,57,Pinheiros,01443080,São Paulo,Casa,170,5,3,3,0,2019-02-21,Venda,1854999,0,NA,NA,210
Alameda Campinas,540,Jardim Paulista,01404000,São Paulo,Flat,30,1,0,1,1,2017-11-28,Venda,234499,770,NA,NA,77
Alameda Lorena,1160,Jardim Paulista,01424001,São Paulo,Flat,60,2,0,2,1,2018-05-23,Locação,4228,951,MONTHLY,5180,420
Rua Campo Largo,NA,Vila Bertioga,03186010,São Paulo,Apartamento,74,2,1,3,2,2018-07-04,Venda,386400,406,NA,NA,0
Rua Campo Largo,190,Vila Bertioga,03186010,São Paulo,Apartamento,80,1,1,3,2,2017-09-24,Venda,371000,434,NA,NA,26
Rua Campo Largo,272,Mooca,03186010,São Paulo,Apartamento,82,3,1,3,2,2018-01-25,Venda,461999,525,NA,NA,109
Rua Dona Vitória Speers,NA,Vila Formosa,03359000,São Paulo,Casa de dois andares,174,1,1,3,2,2017-04-21,Venda,630000,NA,NA,NA,0
Avenida Doutor José Higino,968,Vila Oratorio,03189040,São Paulo,Loteamento Comercial,630,0,0,0,0,2017-12-26,Venda,668500,0,NA,NA,0
Rua Campo Largo,369,Vila Bertioga,03186010,São Paulo,Apartamento,142,3,3,3,2,2018-05-30,Venda,644000,840,NA,NA,0
Rua Camberra,732,Vila Formosa,03357010,São Paulo,Apartamento,70,2,1,3,2,2017-04-21,Venda,280000,525,NA,NA,66
Rua Chaberá,305,Vila Formosa,03364030,São Paulo,Loteamento Residencial,593,0,0,0,0,2018-10-30,Venda,840000,0,NA,NA,0
Alameda Lorena,1160,Jardim Paulista,01424001,Paraíso,Flat,45,1,0,1,1,2019-02-02,Locação,1729,477,MONTHLY,2206,174
Rua Campo Largo,NA,Vila Bertioga,03186010,São Paulo,Apartamento,80,2,1,3,2,2019-01-17,Venda,413000,445,NA,NA,0
Rua Guadelupe,NA,Jardim America,05402000,São Paulo,Casa,752,8,4,7,6,2018-08-13,Venda,9800000,NA,NA,NA,5572
Alameda Campinas,540,Jardim Paulista,01404000,São Paulo,Flat,30,1,0,1,1,2016-10-15,Locação,1673,847,MONTHLY,2520,70
Rua dos Pinheiros,870,Pinheiros,05422000,São Paulo,Escritório,100,2,0,0,4,2018-11-14,Locação,5320,2100,MONTHLY,7419,756
Avenida Paulista,NA,Bela Vista,01310200,São Paulo,Escritório,357,4,0,0,4,2017-06-07,Venda,3640000,4963,NA,NA,2303
Avenida Paulista,NA,Bela Vista,01310100,São Paulo,Escritório,245,2,0,0,5,2017-07-04,Locação,14000,4370,MONTHLY,18370,33771
Alameda Campinas,540,Jardim Paulista,01404000,São Paulo,Flat,35,1,0,1,1,2019-01-11,Locação,2590,0,MONTHLY,2590,0
Alameda Campinas,540,Jardins,01404000,São Paulo,Flat,35,1,1,1,1,2019-02-18,Locação,1750,770,MONTHLY,2520,70
Rua Conselheiro Pereira Pinto,NA,Pinheiros,05425040,São Paulo,Depósito,200,0,0,0,0,2018-11-22,Venda,1400000,NA,NA,NA,420
Alameda Lorena,1157,Cerqueira César,01424001,São Paulo,Flat,40,0,0,1,1,2018-08-03,Locação,1750,1400,MONTHLY,3150,140
Alameda Ministro Rocha Azevedo,NA,Jardim America,NA,São Paulo,Apartamento,190,4,2,2,2,2018-07-28,Locação,4900,1610,MONTHLY,6510,280
Rua Vicente de Oliveira,49,Vila Universitária,05359210,São Paulo,Casa de dois andares,100,2,1,3,1,2017-10-31,Venda,301000,0,NA,NA,0
Alameda Campinas,540,Jardim Paulista,01404000,São Paulo,Flat,38,1,0,1,1,2019-02-13,Locação,2590,0,MONTHLY,2590,0
Alameda Campinas,540,Jardim Paulista,01404000,São Paulo,Flat,30,1,0,1,1,2018-11-14,Locação,2380,0,MONTHLY,2380,0
Avenida Paulista,NA,Bela Vista,01311200,São Paulo,Comercial,95,3,0,0,1,2016-04-06,Locação,2800,1400,MONTHLY,4200,402
Avenida do Rio Pequeno,NA,Rio Pequeno,05379000,São Paulo,Apartamento,50,1,0,2,1,2017-05-25,Venda,222600,229,NA,NA,0
Rua José Norberto da Fonseca,430,Parque Savoy City,03570460,São Paulo,Casa de dois andares,115,2,1,3,3,2018-11-19,Venda,251999,35,NA,NA,0
Alameda Ministro Rocha Azevedo,1110,Jardim Paulista,01410002,São Paulo,Apartamento,295,5,3,3,0,2019-01-31,Locação,21000,2590,MONTHLY,23590,700
Rua dos Pinheiros,870,Pinheiros,05422000,São Paulo,Escritório,100,0,0,0,4,2019-02-21,Locação,8400,1468,MONTHLY,9868,461
Alameda Ministro Rocha Azevedo,1078,Jardim Paulista,01410000,São Paulo,Casa de dois andares,107,1,0,2,1,2017-08-09,Venda,1106000,0,NA,NA,3849
Rua Camomila Romana,NA,Parque Savoy City,03570430,São Paulo,Casa de dois andares,200,0,0,3,2,2018-06-29,Venda,217000,0,NA,NA,0
Rua Engenheiro Guilherme Cristiano Frender,1044,Vila Antonieta,03477000,São Paulo,Casa de dois andares,63,1,2,2,1,2018-12-19,Venda,251999,0,NA,NA,0
Alameda Casa Branca,705,Jardim Paulista,01408001,São Paulo,Apartamento,139,2,1,3,1,2018-03-15,Venda,1386000,598,NA,NA,127
Avenida Paes de Barros,1540,Mooca,03114001,São Paulo,Apartamento,180,2,1,3,1,2018-06-29,Venda,546000,NA,NA,NA,NA
Alameda Casa Branca,NA,Jardins,01408001,São Paulo,Apartamento,225,5,3,3,3,2019-01-21,Venda,2100000,2705,NA,NA,618
Avenida Paes de Barros,NA,Mooca,03114001,São Paulo,Apartamento,75,2,1,2,1,2019-02-08,Venda,378000,0,NA,NA,NA
Alameda Ministro Rocha Azevedo,NA,Jardim América,01410002,São Paulo,Apartamento,285,5,3,3,2,2018-10-04,Venda,2793000,2520,NA,NA,630
Avenida Paes de Barros,NA,Mooca,03114001,São Paulo,Comercial,500,3,0,0,3,2018-06-03,Locação,7000,0,MONTHLY,7000,1903
Rua do Oratório,1851,Mooca,03116000,São Paulo,Apartamento,48,1,0,2,1,2018-07-31,Venda,266000,343,NA,NA,0
Avenida Paes de Barros,NA,Mooca,03115020,São Paulo,Casa de dois andares,170,0,1,3,6,2017-08-16,Locação,2800,0,MONTHLY,2800,269
Avenida Paes de Barros,1540,Mooca,03114001,São Paulo,Apartamento,144,0,1,3,1,2014-03-28,Venda,455000,909,NA,NA,0
Rua Carlos Sampaio,138,Bela Vista,01333020,São Paulo,Apartamento,134,4,3,3,0,2019-01-21,Venda,1050000,944,NA,NA,91
Rua Templários,520,Vila Formosa,03357000,São Paulo,Apartamento,75,2,1,3,1,2016-03-18,Venda,315000,0,NA,NA,0
Alameda Casa Branca,685,Jardim Paulista,01408001,São Paulo,Apartamento,280,4,1,3,3,2018-08-28,Venda,2380000,2520,NA,NA,909
Rua do Oratório,1851,Mooca,03117000,São Paulo,Apartamento,46,1,NA,2,1,2018-07-06,Venda,226100,335,NA,NA,0
Rua Piraçununga,1200,Vila Bertioga,03187010,São Paulo,Apartamento,65,1,1,2,0,2019-01-24,Locação,909,608,MONTHLY,1518,28
Rua Ourinhos,338,Vila Bertioga,03186040,São Paulo,Condomínio,81,2,1,3,2,2018-03-13,Venda,398930,210,NA,NA,0
Rua Presidente Soares Brandão,NA,Mooca,03107040,São Paulo,Loteamento Residencial,628,0,0,0,0,2017-08-26,Venda,892500,0,NA,NA,0
Rua Cardeal Arcoverde,2365,Pinheiros,05407003,São Paulo,Comercial,464,8,0,0,16,2015-11-16,Locação,27608,4872,MONTHLY,32479,2273
Rua Pires da Mota,514,Aclimação,01529000,São Paulo,Apartamento,140,3,1,4,5,2017-12-21,Venda,875000,1050,NA,NA,118
Rua Tatuí,NA,Jardim Paulista,01409010,São Paulo,Apartamento,154,3,1,1,2,2018-05-09,Venda,1330000,1610,NA,NA,280
Alameda Casa Branca,NA,Jardins,01408000,São Paulo,Apartamento,402,4,3,4,3,2016-03-28,Venda,3640000,2800,NA,NA,786
Rua Piraçununga,1200,Vila Bertioga,03187010,São Paulo,Apartamento,48,1,NA,2,2,2018-03-10,Venda,244999,602,NA,NA,NA
Alameda Lorena,NA,Jardim Paulista,01424000,São Paulo,Flat,30,1,0,1,1,2015-07-27,Locação,2310,NA,MONTHLY,2310,NA
Rua Jumana,1,Mooca,03121030,São Paulo,Apartamento,100,2,1,3,2,2017-06-14,Venda,413000,1330,NA,NA,0
Alameda Casa Branca,685,Jardim Paulista,01408001,São Paulo,Apartamento,280,4,1,4,3,2018-11-01,Venda,2240000,2583,NA,NA,11200
NA,NA,Vila Formosa,NA,São Paulo,Casa de dois andares,200,3,NA,3,NA,2018-04-18,Venda,630000,0,NA,NA,NA
NA,NA,Vila Formosa,00000000,São Paulo,Apartamento,71,2,1,3,1,2018-11-30,Venda,332809,0,NA,NA,0
Avenida Paulista,726,Bela Vista,01310100,São Paulo,Escritório,45,0,0,0,0,2018-01-12,Locação,2450,630,MONTHLY,3080,183
Rua José Maria Lisboa,1000,Jardim Paulista,01423000,São Paulo,Flat,112,3,2,2,2,2019-01-23,Venda,1141000,4715,NA,NA,433
Rua François Coty,124,Cambuci,01524030,São Paulo,Apartamento,34,1,0,1,1,2019-02-15,Venda,171500,NA,NA,NA,NA
Avenida Paulista,726,Bela Vista,01310000,São Paulo,Comercial,90,2,0,0,1,2018-12-19,Locação,4130,756,MONTHLY,4886,2343
Rua Camberra,723,Vila Formosa,03357010,São Paulo,Apartamento,70,1,1,3,2,2018-08-15,Venda,297500,420,NA,NA,70
Rua São Carlos do Pinhal,200,Jardins,01333000,São Paulo,Flat,30,1,1,1,1,2017-08-10,Venda,192500,0,NA,NA,0
Rua Maestro Cardim,NA,Liberdade,01323000,São Paulo,Apartamento,41,1,1,1,1,2014-03-24,Venda,399000,409,NA,NA,350
Alameda Lorena,NA,Jardim Paulista,01424002,São Paulo,Flat,45,1,1,1,1,2017-10-19,Locação,1785,875,MONTHLY,2660,105
Alameda Lorena,NA,Jardim Paulista,01424001,São Paulo,Escritório,201,4,0,0,5,2018-01-30,Locação,9800,2926,MONTHLY,12726,NA
Rua Bueno de Andrade,NA,Aclimação,01526000,São Paulo,Apartamento,32,1,0,1,1,2018-11-07,Venda,182000,254,NA,NA,0
Alameda Campinas,540,Jardim Paulista,01404000,São Paulo,Flat,30,1,1,1,1,2017-04-30,Locação,1750,630,MONTHLY,2380,70
Rua Arapaçu,353,Vila Formosa,03358000,São Paulo,Depósito,600,1,0,0,3,2018-02-15,Locação,5600,NA,MONTHLY,5600,NA
Rua Alves Ribeiro,398,Cambuci,01540010,São Paulo,Apartamento,56,1,0,1,0,2015-07-01,Venda,185500,210,NA,NA,NA
Rua Artur Bernardes,110,Vila Invernada,03349020,São Paulo,Casa,200,4,2,2,3,2018-07-10,Venda,1120000,350,NA,NA,112
Avenida Paulista,800,Bela Vista,01310000,São Paulo,Escritório,1600,0,0,0,24,2019-02-08,Locação,112000,19600,MONTHLY,131600,16800
Avenida Dom Pedro I,31,Vila Monumento,12914481,São Paulo,Loteamento Residencial,NA,NA,NA,NA,NA,2016-06-06,Venda,2800000,0,NA,NA,NA
Rua Maestro Cardim,NA,Bela Vista,01323900,São Paulo,Escritório,35,1,NA,NA,1,2018-03-06,Venda,234499,NA,NA,NA,NA
Alameda Jaú,497,Jardim Paulista,01420000,São Paulo,Flat,30,1,1,1,1,2018-08-25,Locação,1225,1050,MONTHLY,2275,175
Avenida Montemagno,501,Vila Formosa,03371000,São Paulo,Apartamento,124,3,1,3,2,2019-02-23,Venda,668500,546,NA,NA,244
Avenida Paulista,1009,Bela Vista,01310100,São Paulo,Comercial,147,3,NA,NA,3,2019-02-15,Locação,5250,2380,MONTHLY,7629,1260
NA,NA,Vila Formosa,NA,São Paulo,Escritório,500,7,NA,NA,NA,2018-09-06,Locação,10500,0,MONTHLY,10500,630
NA,NA,Vila Formosa,NA,São Paulo,Depósito,220,2,NA,NA,2,2017-12-23,Locação,3150,NA,MONTHLY,3150,140
Rua Pamplona,NA,Jardim Paulista,01405200,São Paulo,Escritório,118,3,0,0,0,2015-10-27,Venda,609000,1219,NA,NA,931
NA,NA,Vila Formosa,NA,São Paulo,Casa de dois andares,100,3,1,3,6,2017-04-13,Venda,322000,NA,NA,NA,NA
Rua Tatuí,123,Jardim Paulista,01409010,São Paulo,Apartamento,140,2,1,3,2,2018-06-30,Venda,1260000,NA,NA,NA,NA
Alameda Franca,279,Jardim Paulista,01422001,São Paulo,Apartamento,483,4,1,3,4,2018-10-23,Locação,5600,2170,MONTHLY,7769,5243
Alameda Lorena,NA,Jardim Paulista,01424001,São Paulo,Apartamento,90,2,0,2,1,2019-01-24,Venda,770000,639,NA,NA,105
Rua Pamplona,NA,Jardim Paulista,01405003,São Paulo,Comercial,32,0,0,0,0,2017-07-18,Locação,1750,525,MONTHLY,2275,0
Rua Artur de Azevedo,1583,Pinheiros,05404014,São Paulo,Apartamento,157,2,1,3,1,2019-02-22,Venda,979999,983,NA,NA,201
Rua Luís Pereira de Almeida,NA,Jardim America,01431020,São Paulo,Escritório,577,5,2,3,4,2018-10-18,Venda,4375000,NA,NA,NA,NA
Rua Mateus Grou,109,Pinheiros,05415050,São Paulo,Flat,35,1,NA,1,1,2018-06-21,Locação,1959,770,MONTHLY,2730,70
Rua Miguel Mota,295,Vila Canero,03191110,São Paulo,Apartamento,56,1,0,1,1,2019-01-17,Venda,258999,280,NA,NA,22
Avenida Rebouças,2109,Pinheiros,05401300,São Paulo,Comercial,424,6,0,0,12,2018-06-25,Locação,14000,0,MONTHLY,14000,5168
Rua Teodoro Sampaio,2261,Pinheiros,05405200,São Paulo,Apartamento,110,1,0,3,0,2019-01-17,Venda,448000,360,NA,NA,NA
Alameda Franca,432,Cerqueira César,01422000,São Paulo,Apartamento,325,5,2,3,3,2018-12-10,Venda,1603000,2800,NA,NA,700
NA,NA,Vila Formosa,NA,São Paulo,Condomínio,90,3,NA,2,NA,2018-08-17,Venda,273000,NA,NA,NA,NA
Rua Pamplona,NA,Jardim Paulista,01405001,São Paulo,Escritório,31,1,0,0,1,2019-01-30,Locação,1400,503,MONTHLY,1903,237
Avenida Nove de Julho,2861,Jardim Paulista,01406200,São Paulo,Apartamento,240,2,1,3,2,2019-01-18,Venda,1470000,1680,NA,NA,350
Rua Manoel Gomes,114,Vila Invernada,03349045,São Paulo,Casa de dois andares,112,3,1,3,2,2017-03-30,Venda,546000,NA,NA,NA,NA
Avenida Paulista,1009,Bela Vista,01311300,São Paulo,Escritório,380,2,0,0,2,2019-02-13,Locação,23940,4949,MONTHLY,28888,2468
Alameda Jaú,497,Jardim Paulista,01420000,São Paulo,Flat,30,1,1,1,1,2017-11-24,Venda,175000,0,NA,NA,0
Rua José Maria Lisboa,880,Jardim Paulista,01423002,São Paulo,Apartamento,160,0,1,3,2,2018-10-12,Locação,4550,1470,MONTHLY,6020,0
Rua Miguel Mota,296,Vila Canero,03191110,São Paulo,Loteamento Residencial,NA,NA,NA,NA,NA,2017-03-20,Venda,840000,NA,NA,NA,NA
Alameda Jaú,684,Jardim Paulista,01420002,São Paulo,Loja,137,3,0,0,2,2018-09-11,Locação,4200,1992,MONTHLY,6192,1106
Alameda Casa Branca,NA,Jardins,01408000,São Paulo,Apartamento,280,4,1,4,2,2019-02-08,Locação,7000,1750,MONTHLY,8750,620
Rua Jaboticabal,1167,Vila Bertioga,03188000,São Paulo,Depósito,500,3,0,0,0,2018-11-02,Locação,5600,0,MONTHLY,5600,896
Alameda Lorena,1272,Jardim Paulista,01424004,São Paulo,Apartamento,350,4,3,4,2,2016-08-18,Venda,3723999,2029,NA,NA,752
NA,NA,Vila Formosa,NA,São Paulo,Casa de dois andares,170,2,NA,3,NA,2017-09-23,Venda,441000,NA,NA,NA,NA
Rua Francisco Otaviano,1487,Mooca,03111020,São Paulo,Apartamento,120,2,1,3,2,2017-12-26,Venda,665000,595,NA,NA,0
Alameda Casa Branca,NA,Jardins,01408000,São Paulo,Apartamento,153,3,1,3,1,2018-11-01,Locação,12600,1750,MONTHLY,14349,470
Rua Florianópolis,575,Vila Bertioga,03185050,São Paulo,Apartamento,85,1,1,3,2,2018-10-06,Venda,486499,0,NA,NA,0
Rua Francisco Otaviano,NA,Mooca,03111020,São Paulo,Apartamento,119,2,2,3,2,2018-03-17,Venda,679000,487,NA,NA,230
Rua Florianópolis,575,Vila Bertioga,03185050,São Paulo,Apartamento,69,1,1,3,1,2018-12-08,Venda,508115,NA,NA,NA,NA
Rua Campo Largo,964,Vila Bertioga,03186010,São Paulo,Apartamento,80,2,1,2,2,2017-04-13,Venda,486499,364,NA,NA,123
Rua Chaberá,NA,Vila Formosa,03364030,São Paulo,Casa de dois andares,161,3,1,3,2,2018-11-19,Venda,489999,0,NA,NA,0
NA,NA,Vila Antonieta,NA,São Paulo,Apartamento,55,0,0,2,1,2015-09-21,Venda,204400,0,NA,NA,0
Rua Tamarataca,239,Mooca,03119010,São Paulo,Apartamento,200,5,3,3,3,2017-07-19,Venda,665000,1246,NA,NA,420
Avenida Paes de Barros,1236,Mooca,03115020,São Paulo,Apartamento,93,2,NA,2,1,2018-05-22,Venda,371000,560,NA,NA,0
Rua Alves Carneiro,46,Jardim Vila Formosa,03460170,São Paulo,Casa de dois andares,125,3,0,3,2,2017-11-15,Venda,336000,0,NA,NA,49
Rua Tamarataca,239,Mooca,03119010,São Paulo,Apartamento,190,4,3,3,3,2017-12-26,Venda,819000,1330,NA,NA,0
Rua Chaberá,NA,Vila Formosa,03364030,São Paulo,Casa de dois andares,60,1,0,2,0,2018-11-13,Venda,224000,56,NA,NA,0
Rua Cabinari,NA,Vila Formosa,03364050,São Paulo,Condomínio,100,1,2,2,2,2018-02-07,Venda,297500,0,NA,NA,0
Rua Peixoto Gomide,NA,Jardim Paulista,01409001,São Paulo,Apartamento,163,4,1,3,2,2018-12-12,Locação,7349,1889,MONTHLY,9240,489
Rua Peixoto Gomide,NA,Jardim Paulista,01409002,São Paulo,Apartamento,275,5,3,3,1,2018-10-11,Venda,2240000,2029,NA,NA,560
Rua Chagu,193,Vila Formosa,03357020,São Paulo,Apartamento,63,1,0,3,1,2018-06-20,Venda,258999,413,NA,NA,0
Rua Padre Raposo,1372,Mooca,03118000,São Paulo,Cobertura,320,5,1,4,3,2018-10-23,Venda,1120000,1959,NA,NA,690
Rua Filhas do Sagrado Coração,1,Vila Formosa,03364000,São Paulo,Casa de dois andares,500,3,NA,2,2,2015-02-07,Venda,448000,NA,NA,NA,0
Rua do Erário,12,Vila Bertioga,03188070,São Paulo,Casa de dois andares,260,2,0,4,4,2018-05-17,Venda,525000,0,NA,NA,0
Rua João Teixeira da Silva,415,Água Rasa,03348040,São Paulo,Apartamento,76,1,1,3,2,2018-05-26,Venda,416500,351,NA,NA,0
Rua Peixoto Gomide,NA,Jardim Paulista,01409002,São Paulo,Apartamento,148,4,3,3,3,2018-08-02,Venda,1750000,2450,NA,NA,630
Alameda Franca,NA,Jardim Paulista,01422001,São Paulo,Apartamento,222,4,1,3,2,2018-09-12,Venda,1959999,1400,NA,NA,4042
Rua Marcondes Homem de Melo,146,Jardim Nossa Senhora do Carmo,08275030,São Paulo,Casa de dois andares,105,4,2,2,2,2019-01-16,Venda,269500,0,NA,NA,0
Avenida São Remo,491,Butantã,05360150,São Paulo,Apartamento,56,2,1,3,1,2018-11-16,Venda,237999,378,NA,NA,51
Rua Horácio Rodrigues,NA,Vila Formosa,03366080,São Paulo,Casa de dois andares,250,4,1,3,5,2018-11-19,Venda,525000,0,NA,NA,0
Alameda Franca,729,Jardim Paulista,01422001,São Paulo,Apartamento,335,5,4,4,4,2018-06-20,Venda,3640000,2590,NA,NA,1470
Rua Camberra,116,Vila Formosa,03357010,São Paulo,Casa de dois andares,150,4,1,3,4,2017-10-02,Venda,489999,0,NA,NA,105
Avenida Corifeu de Azevedo Marques,3653,Vila Lageado,05339001,São Paulo,Loja,400,2,0,0,0,2019-01-31,Locação,4550,0,MONTHLY,4550,0
Alameda Franca,692,Jardim Paulista,01422000,São Paulo,Apartamento,410,8,4,4,5,2017-05-02,Venda,4550000,5600,NA,NA,2100
Alameda Franca,NA,Jardim Paulista,01422000,São Paulo,Apartamento,100,3,1,3,1,2019-01-18,Venda,665000,805,NA,NA,135
Rua Mateus Mendes Pereira,50,Jardim Nossa Senhora do Carmo,08275010,São Paulo,Casa de dois andares,75,3,2,3,2,2018-10-30,Venda,273000,0,NA,NA,0
Rua Marcondes Homem de Melo,69,Jardim Nossa Senhora do Carmo,08275030,São Paulo,Casa de dois andares,70,3,2,2,2,2017-04-13,Venda,266000,NA,NA,NA,NA
Avenida Doutora Ruth Cardoso,7221,Pinheiros,05425902,São Paulo,Escritório,713,0,0,0,20,2018-10-20,Locação,49903,12350,MONTHLY,62253,6462
Rua Templários,259,Vila Formosa,03357000,São Paulo,Apartamento,298,4,3,3,3,2018-05-30,Venda,1113000,1225,NA,NA,0
Avenida São Remo,491,Vila Butantã,05360150,São Paulo,Apartamento,56,1,0,3,1,2017-04-13,Locação,979,280,MONTHLY,1260,0
Alameda Franca,NA,Jardim Paulista,01422002,São Paulo,Apartamento,189,4,1,3,1,2018-09-29,Venda,1120000,1574,NA,NA,285
Alameda Franca,626,Jardim Paulista,01422002,São Paulo,Apartamento,270,5,3,3,3,2019-02-12,Venda,2100000,2800,NA,NA,13300
Rua Peixoto Gomide,NA,Jardim Paulista,01409002,São Paulo,Apartamento,207,3,1,3,2,2018-08-31,Venda,1610000,2380,NA,NA,489
Alameda Franca,NA,Jardim Paulista,01422000,São Paulo,Apartamento,140,2,1,3,1,2018-06-08,Venda,896000,1050,NA,NA,NA
Avenida Doutor Luiz Antônio Peduti Cunha,260,Parque dos Príncipes,05396270,São Paulo,Casa de dois andares,560,6,2,4,6,2018-04-14,Venda,1014999,NA,NA,NA,NA
Rua Gaston Elie Pouget,204,Rio Pequeno,05361080,São Paulo,Casa de dois andares,250,4,2,3,4,2017-12-08,Venda,442400,0,NA,NA,1260
Alameda Franca,584,Jardim Paulista,01422002,São Paulo,Flat,40,1,0,1,1,2018-12-13,Locação,2450,0,MONTHLY,2450,0
Alameda Itu,NA,Jardim Paulista,01421001,São Paulo,Apartamento,264,4,1,3,2,2019-02-16,Locação,10500,1190,MONTHLY,11690,535
Alameda Franca,579,Jardim Paulista,01422003,São Paulo,Cobertura,383,5,3,3,5,2017-06-12,Venda,4059999,4151,NA,NA,14892
Rua Mateus Mendes Pereira,50,Jardim Nossa Senhora do Carmo,08275010,São Paulo,Casa de dois andares,75,3,2,3,2,2018-05-30,Venda,273000,0,NA,NA,0
Avenida Escola Politécnica,NA,Rio Pequeno,05350000,São Paulo,Apartamento,156,5,3,3,2,2017-05-07,Venda,1050000,959,NA,NA,345
Alameda Itu,NA,Jardim Paulista,01421005,São Paulo,Apartamento,170,1,1,3,1,2018-10-11,Venda,1225000,1106,NA,NA,343
Alameda Franca,729,Jardim Paulista,01422000,São Paulo,Apartamento,350,5,4,4,4,2019-01-24,Venda,3430000,2660,NA,NA,1470
Alameda Itu,NA,Jardim Paulista,01421000,São Paulo,Apartamento,118,3,1,3,2,2019-02-08,Venda,770000,NA,NA,NA,NA
